,cat_periodo,area_carrera_generica,total_alumnos
231,2017,Informática,45816
232,2017,Ingeniería y Profesiones Afines,165542
233,2017,Matemáticas y Estadísticas,2215
234,2017,Medicina,235844
235,2017,Periodismo e Información,8438
236,2017,Protección del Medio Ambiente,5912
237,2017,Servicios de Seguridad,44121
238,2017,Servicios de Transporte,1273
239,2017,Servicios Personales,45800
240,2017,Servicios Sociales,39178
241,2017,Veterinaria,11376
242,2018,"Agricultura, Silvicultura y Pesca",17708
243,2018,Arquitectura y Construcción,66425
244,2018,Artes,36999
245,2018,Ciencias de la Vida,7390
246,2018,Ciencias Físicas,15033
247,2018,Ciencias Sociales y del Comportamiento,52938
248,2018,Derecho,46886
249,2018,Enseñanza Comercial y Administración,235788
250,2018,Formación de Personal Docente y Ciencias de la Educación,143063
251,2018,Humanidades,13517
252,2018,Industria y Producción,19625
253,2018,Informática,46674
254,2018,Ingeniería y Profesiones Afines,171405
255,2018,Matemáticas y Estadísticas,2486
256,2018,Medicina,238047
257,2018,Periodismo e Información,8527
258,2018,Protección del Medio Ambiente,6245
259,2018,Servicios de Seguridad,31140
260,2018,Servicios de Transporte,1218
261,2018,Servicios Personales,48708
262,2018,Servicios Sociales,40185
263,2018,Veterinaria,12327
264,2019,"Agricultura, Silvicultura y Pesca",18486
265,2019,Arquitectura y Construcción,65431
266,2019,Artes,37833
267,2019,Ciencias de la Vida,7722
268,2019,Ciencias Físicas,14967
269,2019,Ciencias Sociales y del Comportamiento,55189
270,2019,Derecho,48802
271,2019,Enseñanza Comercial y Administración,237805
272,2019,Formación de Personal Docente y Ciencias de la Educación,142510
273,2019,Humanidades,13348
274,2019,Industria y Producción,18347
275,2019,Informática,48700
276,2019,Ingeniería y Profesiones Afines,175779
277,2019,Matemáticas y Estadísticas,2788
278,2019,Medicina,235252
279,2019,Periodismo e Información,8818
280,2019,Protección del Medio Ambiente,6476
281,2019,Servicios de Seguridad,22290
282,2019,Servicios de Transporte,1222
283,2019,Servicios Personales,51507
284,2019,Servicios Sociales,41351
285,2019,Veterinaria,13860
286,2020,"Agricultura, Silvicultura y Pesca",18228
287,2020,Arquitectura y Construcción,60551
288,2020,Artes,36961
289,2020,Ciencias de la Vida,7860
290,2020,Ciencias Físicas,14734
291,2020,Ciencias Sociales y del Comportamiento,54755
292,2020,Derecho,48961
293,2020,Enseñanza Comercial y Administración,224962
294,2020,Formación de Personal Docente y Ciencias de la Educación,130875
295,2020,Humanidades,12100
296,2020,Industria y Producción,16565
297,2020,Informática,49114
298,2020,Ingeniería y Profesiones Afines,171551
299,2020,Matemáticas y Estadísticas,3181
300,2020,Medicina,231293
301,2020,Periodismo e Información,8312
302,2020,Protección del Medio Ambiente,6522
303,2020,Servicios de Seguridad,15725
304,2020,Servicios de Transporte,1249
305,2020,Servicios Personales,50038
306,2020,Servicios Sociales,42119
307,2020,Veterinaria,15242
308,2021,"Agricultura, Silvicultura y Pesca",18635
309,2021,Arquitectura y Construcción,61541
310,2021,Artes,37967
311,2021,Ciencias de la Vida,8824
312,2021,Ciencias Físicas,15253
313,2021,Ciencias Sociales y del Comportamiento,61011
314,2021,Derecho,55216
315,2021,Enseñanza Comercial y Administración,237694
316,2021,Formación de Personal Docente y Ciencias de la Educación,128646
317,2021,Humanidades,12905
318,2021,Industria y Producción,17455
319,2021,Informática,54681
320,2021,Ingeniería y Profesiones Afines,175896
321,2021,Matemáticas y Estadísticas,4166
322,2021,Medicina,256323
323,2021,Periodismo e Información,8895
324,2021,Protección del Medio Ambiente,7186
325,2021,Servicios de Seguridad,16378
326,2021,Servicios de Transporte,1390
327,2021,Servicios Personales,48903
328,2021,Servicios Sociales,47681
329,2021,Veterinaria,18055
330,2022,"Agricultura, Silvicultura y Pesca",18145
331,2022,Arquitectura y Construcción,60299
332,2022,Artes,40447
333,2022,Ciencias de la Vida,9205
334,2022,Ciencias Físicas,14706
335,2022,Ciencias Sociales y del Comportamiento,63383
336,2022,Derecho,55219
337,2022,Enseñanza Comercial y Administración,238623
338,2022,Formación de Personal Docente y Ciencias de la Educación,120075
339,2022,Humanidades,13036
340,2022,Industria y Producción,17589
341,2022,Informática,59235
342,2022,Ingeniería y Profesiones Afines,179649
343,2022,Matemáticas y Estadísticas,4615
344,2022,Medicina,257591
345,2022,Periodismo e Información,8615
346,2022,Protección del Medio Ambiente,7043
347,2022,Servicios de Seguridad,16914
348,2022,Servicios de Transporte,1510
349,2022,Servicios Personales,50150
350,2022,Servicios Sociales,48157
351,2022,Veterinaria,19941
352,2023,"Agricultura, Silvicultura y Pesca",18262
353,2023,Arquitectura y Construcción,59301
354,2023,Artes,43862
355,2023,Ciencias de la Vida,9577
356,2023,Ciencias Físicas,14872
357,2023,Ciencias Sociales y del Comportamiento,67210
358,2023,Derecho,56278
359,2023,Enseñanza Comercial y Administración,240488
360,2023,Formación de Personal Docente y Ciencias de la Educación,119070
361,2023,Humanidades,13361
362,2023,Industria y Producción,19132
363,2023,Informática,66556
364,2023,Ingeniería y Profesiones Afines,188381
365,2023,Matemáticas y Estadísticas,4551
366,2023,Medicina,263111
367,2023,Periodismo e Información,8878
368,2023,Protección del Medio Ambiente,7047
369,2023,Servicios de Seguridad,17733
370,2023,Servicios de Transporte,1596
371,2023,Servicios Personales,52062
372,2023,Servicios Sociales,47213
373,2023,Veterinaria,22905
374,2024,"Agricultura, Silvicultura y Pesca",18002
375,2024,Arquitectura y Construcción,57878
376,2024,Artes,46336
377,2024,Ciencias de la Vida,9875
378,2024,Ciencias Físicas,14696
379,2024,Ciencias Sociales y del Comportamiento,71738
