,cat_periodo,tipo_inst_1,tipo_inst_2,nivel_carrera_2,total_alumnos
164,2018,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,183145
165,2018,Institutos Profesionales,Institutos Profesionales,Postítulo,1793
166,2018,Universidades,Universidades CRUCH,Carreras Profesionales,307802
167,2018,Universidades,Universidades CRUCH,Carreras Técnicas,22190
168,2018,Universidades,Universidades CRUCH,Doctorado,5183
169,2018,Universidades,Universidades CRUCH,Magister,18235
170,2018,Universidades,Universidades CRUCH,Postítulo,13135
171,2018,Universidades,Universidades Privadas,Carreras Profesionales,340989
172,2018,Universidades,Universidades Privadas,Carreras Técnicas,7232
173,2018,Universidades,Universidades Privadas,Doctorado,756
174,2018,Universidades,Universidades Privadas,Magister,22701
175,2018,Universidades,Universidades Privadas,Postítulo,12475
176,2019,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,137919
177,2019,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,9
178,2019,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,199702
179,2019,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,179754
180,2019,Institutos Profesionales,Institutos Profesionales,Postítulo,1956
181,2019,Universidades,Universidades (* Carrera en Convenio),Carreras Profesionales,2145
182,2019,Universidades,Universidades (* Carrera en Convenio),Carreras Técnicas,4
183,2019,Universidades,Universidades CRUCH,Carreras Profesionales,337513
184,2019,Universidades,Universidades CRUCH,Carreras Técnicas,20807
185,2019,Universidades,Universidades CRUCH,Doctorado,5446
186,2019,Universidades,Universidades CRUCH,Magister,20572
187,2019,Universidades,Universidades CRUCH,Postítulo,12253
188,2019,Universidades,Universidades Privadas,Carreras Profesionales,310889
189,2019,Universidades,Universidades Privadas,Carreras Técnicas,5726
190,2019,Universidades,Universidades Privadas,Doctorado,600
191,2019,Universidades,Universidades Privadas,Magister,21773
192,2019,Universidades,Universidades Privadas,Postítulo,11415
193,2020,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,130338
194,2020,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,8
195,2020,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,200445
196,2020,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,160942
197,2020,Institutos Profesionales,Institutos Profesionales,Postítulo,643
198,2020,Universidades,Universidades (* Carrera en Convenio),Carreras Profesionales,2266
199,2020,Universidades,Universidades (* Carrera en Convenio),Carreras Técnicas,69
200,2020,Universidades,Universidades (* Carrera en Convenio),Magister,22
201,2020,Universidades,Universidades (* Carrera en Convenio),Postítulo,2
202,2020,Universidades,Universidades CRUCH,Carreras Profesionales,346643
203,2020,Universidades,Universidades CRUCH,Carreras Técnicas,19129
204,2020,Universidades,Universidades CRUCH,Doctorado,5486
205,2020,Universidades,Universidades CRUCH,Magister,18972
206,2020,Universidades,Universidades CRUCH,Postítulo,14390
207,2020,Universidades,Universidades Privadas,Carreras Profesionales,286739
208,2020,Universidades,Universidades Privadas,Carreras Técnicas,5263
209,2020,Universidades,Universidades Privadas,Doctorado,538
210,2020,Universidades,Universidades Privadas,Magister,20465
211,2020,Universidades,Universidades Privadas,Postítulo,8538
212,2021,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,134463
213,2021,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,14
214,2021,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,218302
215,2021,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,160236
216,2021,Institutos Profesionales,Institutos Profesionales,Postítulo,1300
217,2021,Universidades,Universidades (* Carrera en Convenio),Carreras Profesionales,1565
218,2021,Universidades,Universidades (* Carrera en Convenio),Carreras Técnicas,29
219,2021,Universidades,Universidades (* Carrera en Convenio),Doctorado,117
220,2021,Universidades,Universidades (* Carrera en Convenio),Magister,170
221,2021,Universidades,Universidades CRUCH,Carreras Profesionales,368107
222,2021,Universidades,Universidades CRUCH,Carreras Técnicas,18022
223,2021,Universidades,Universidades CRUCH,Doctorado,5933
224,2021,Universidades,Universidades CRUCH,Magister,21701
225,2021,Universidades,Universidades CRUCH,Postítulo,23279
226,2021,Universidades,Universidades Privadas,Carreras Profesionales,298716
227,2021,Universidades,Universidades Privadas,Carreras Técnicas,4936
228,2021,Universidades,Universidades Privadas,Doctorado,679
229,2021,Universidades,Universidades Privadas,Magister,24647
230,2021,Universidades,Universidades Privadas,Postítulo,12485
231,2022,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,131747
232,2022,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,7
233,2022,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,231631
234,2022,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,165198
235,2022,Institutos Profesionales,Institutos Profesionales,Postítulo,876
236,2022,Universidades,Universidades (* Carrera en Convenio),Carreras Profesionales,880
237,2022,Universidades,Universidades (* Carrera en Convenio),Carreras Técnicas,14
238,2022,Universidades,Universidades (* Carrera en Convenio),Doctorado,114
239,2022,Universidades,Universidades (* Carrera en Convenio),Magister,148
240,2022,Universidades,Universidades CRUCH,Carreras Profesionales,365500
241,2022,Universidades,Universidades CRUCH,Carreras Técnicas,16558
242,2022,Universidades,Universidades CRUCH,Doctorado,6115
243,2022,Universidades,Universidades CRUCH,Magister,21950
244,2022,Universidades,Universidades CRUCH,Postítulo,21338
245,2022,Universidades,Universidades Privadas,Carreras Profesionales,297665
246,2022,Universidades,Universidades Privadas,Carreras Técnicas,4818
247,2022,Universidades,Universidades Privadas,Doctorado,646
248,2022,Universidades,Universidades Privadas,Magister,25612
249,2022,Universidades,Universidades Privadas,Postítulo,13330
250,2023,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,136743
251,2023,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,9
252,2023,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,250422
253,2023,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,168591
254,2023,Institutos Profesionales,Institutos Profesionales,Postítulo,418
255,2023,Universidades,Universidades (* Carrera en Convenio),Carreras Profesionales,326
